Name,Start Date,Due Date
"Set up project scaffold for Portfolio_frontend","2025-12-02","2025-12-03"
"Initialize Git repo and push initial commit","2025-12-02","2025-12-02"
"Create base index.html structure","2025-12-03","2025-12-04"
"Create global CSS (reset, variables, color system)","2025-12-03","2025-12-05"
"Implement responsive layout (mobile-first)","2025-12-04","2025-12-06"
"Build site header and navigation bar","2025-12-05","2025-12-06"
"Build footer with links and attribution","2025-12-05","2025-12-06"
"Create 'About Me' section","2025-12-06","2025-12-07"
"Create 'Projects' section layout","2025-12-07","2025-12-08"
"Add project cards (images, titles, descriptions)","2025-12-08","2025-12-09"
"Add skills / technologies section","2025-12-08","2025-12-09"
"Build Contact section (form or links)","2025-12-09","2025-12-10"
"Ensure accessibility (semantic HTML, alt text, contrast)","2025-12-09","2025-12-11"
"Cross-device and responsive testing","2025-12-10","2025-12-12"
"Add UI animations / transitions (optional)","2025-12-11","2025-12-13"
"Optimize performance (image compression, minification)","2025-12-12","2025-12-14"
"Write README for Portfolio_frontend","2025-12-12","2025-12-13"
"Set up deployment (GitHub Pages or hosting)","2025-12-13","2025-12-14"
"Deploy portfolio site live","2025-12-14","2025-12-14"
"Test deployed site and fix bugs","2025-12-15","2025-12-16"
"Add SEO meta tags and social preview image","2025-12-15","2025-12-16"
"Final polish — clean code, text, spacing, structure","2025-12-16","2025-12-17"
